file,n_comparisons,exact_%,minor_%,severe_%,over_scoring_%,under_scoring_%,mean_delta
full_active.csv,3666,63.693398799781775,32.48772504091653,3.8188761593016913,5.291871249318058,31.014729950900165,-0.2855973813420622
full_baseline.csv,3666,60.63829787234043,34.91543917075832,4.446262956901255,4.6644844517184945,34.697217675941076,-0.33496999454446263
full_cot.csv,3666,62.08401527550463,33.44244408074195,4.4735406437534095,4.582651391162029,33.33333333333333,-0.32296781232951444
full_critique.csv,3666,62.220403709765414,33.797054009819966,3.982542280414621,4.719039825422804,33.06055646481178,-0.3139661756683033
full_decomposed.csv,1363,55.319148936170215,37.63756419662509,7.043286867204696,7.997065297138664,36.68378576669112,-0.33528980190755686
full_deliberative.csv,3666,60.720130932896886,34.724495362793235,4.555373704309875,4.609929078014184,34.669939989088924,-0.33687943262411346
full_few.csv,3666,61.8657937806874,33.087834151663934,5.046372067648663,4.4189852700491,33.715220949263504,-0.3374249863611566
full_react.csv,3666,62.02945990180033,33.57883251500272,4.391707583196945,4.828150572831424,33.14238952536825,-0.3183306055646481
full_sc.csv,3666,63.88434260774686,32.0785597381342,4.037097654118931,5.155482815057283,30.960174577195854,-0.2896890343698854
full_zero.csv,3666,71.49481723949809,25.20458265139116,3.3006001091107477,10.010911074740863,18.494271685761046,-0.06382978723404255
sections_active.csv,3666,55.755591925804694,36.00654664484452,8.237861429350792,4.63720676486634,39.60720130932897,-0.4249863611565739
sections_baseline.csv,3666,53.00054555373704,38.297872340425535,8.701582105837424,3.955264593562466,43.04418985270049,-0.46808510638297873
sections_cot.csv,3666,53.57337697763229,37.56137479541734,8.865248226950355,4.009819967266775,42.41680305510093,-0.466721222040371
sections_critique.csv,3666,53.70976541189307,37.64320785597381,8.647026732133115,4.091653027823241,42.198581560283685,-0.46153846153846156
sections_decomposed.csv,3666,55.53737043098745,36.47026732133115,7.992362247681396,4.228041462084016,40.234588106928534,-0.43344244408074195
sections_deliberative.csv,3666,53.79159847244953,37.45226404800873,8.756137479541735,4.037097654118931,42.17130387343153,-0.46126568466994
sections_few.csv,3666,53.54609929078015,36.852154937261325,9.601745771958537,4.14620840152755,42.30769230769231,-0.47217675941080195
sections_react.csv,3666,54.36442989634479,36.87943262411347,8.756137479541735,4.282596835788325,41.35297326786688,-0.4500818330605565
sections_sc.csv,3666,56.19203491543917,35.51554828150573,8.2924168030551,4.4189852700491,39.388979814511735,-0.4249863611565739
sections_zero.csv,3666,62.90234588106929,31.80578286961266,5.291871249318058,8.374249863611565,28.723404255319153,-0.22531369339879978
