dimension,n_pairs,kappa_w_quad,alpha_ordinal,exact_%,adjacent_%
Aktiv i pasiv,20,0.0,-0.025641025641025772,95.0,100.0
Argumentacija,20,0.21052631578947367,0.16473317865429227,70.0,95.0
Argumentacija odabranog rešenja,20,0.05797101449275366,-0.08333333333333348,45.0,75.0
Bespotrebni detalji,20,1.0,1.0,100.0,100.0
Definisani koncepti,20,0.0,-0.11111111111111116,80.0,100.0
Diskusija o rezultatima,20,0.34782608695652173,0.3142857142857143,85.0,100.0
Dovoljno detalja,20,0.0,-0.025641025641025772,95.0,100.0
Finalni paragraf,20,0.09090909090909094,0.04761904761904756,75.0,95.0
Gramatika i pravopis,20,0.7191011235955056,0.7187060478199718,75.0,100.0
Inicijalno predstavljanje strukture sistema,20,,,100.0,100.0
Interpunkcija,20,0.04761904761904767,-0.06666666666666665,60.0,100.0
Jasnoća rečenica,20,0.38144329896907214,0.375,70.0,100.0
Konciznost,20,,,100.0,100.0
Konciznost paragrafa,20,0.0,-0.025641025641025772,95.0,100.0
Konciznost rečenice,20,0.21052631578947356,0.20879120879120872,70.0,95.0
Konzistentnost,20,0.0,-0.025641025641025772,95.0,100.0
Korišćenje ličnih zamenica,20,0.0,-0.025641025641025772,95.0,100.0
Korišćenje vremena,20,0.0,-0.08108108108108092,85.0,100.0
Nekonciznost,20,0.21052631578947367,0.20000000000000007,70.0,100.0
Odnos teksta i teme rada,20,,,100.0,100.0
Opis drugačijih rešenja,20,0.10526315789473684,-0.07594936708860756,50.0,60.0
Opis fokusa rada,20,0.0,-0.025641025641025772,95.0,100.0
Opis koncepata rešenja,20,0.0,-0.025641025641025772,95.0,95.0
Opis koristi rešenja,20,0.0,-0.05263157894736836,90.0,100.0
Opis problema domena,20,,,100.0,100.0
Opis rešenja koncepata,20,,,100.0,100.0
Opis rešenja na opštijem nivou,20,1.0,1.0,100.0,100.0
Opis svake celine strukture rešenja,20,,,100.0,100.0
Organizacija paragrafa,20,-0.15384615384615374,-0.17647058823529416,70.0,100.0
Osnovni koncepti,20,,,100.0,100.0
Pozicioniranje užeg problema u širem kontekstu,20,0.0,-0.05263157894736836,90.0,100.0
Početak rečenice,20,-0.05263157894736836,-0.05263157894736836,90.0,100.0
Preciznost,20,,,100.0,100.0
Problem,20,0.03846153846153855,-0.5037593984962405,25.0,25.0
Repetitivnost,20,-0.08108108108108092,-0.11111111111111116,80.0,100.0
Sadržaj rečenice,20,0.41176470588235303,0.375,80.0,100.0
Skraćenice,20,0.45945945945945954,0.4444444444444444,90.0,100.0
Strane reči,20,0.5,0.5,75.0,95.0
Struktura opisa rezultata,20,0.0,-0.0714285714285714,85.0,95.0
Teorijske osnove,20,0.06250000000000011,-0.0027855153203342198,70.0,95.0
Visok nivo apstrakcije,20,0.31818181818181823,0.3142857142857143,85.0,100.0
Višak koncepata,20,0.0,-0.025641025641025772,95.0,100.0
Vreme pisanja,20,0.17910447761194037,-0.004566210045662267,50.0,80.0
Zahtevi,20,0.0,-0.025641025641025772,95.0,95.0
Zarezi,20,0.13978494623655924,0.04761904761904756,60.0,100.0
Značaj rešenja,20,,,100.0,100.0
Širi problem,20,0.0,-0.025641025641025772,95.0,100.0
