file,kappa_mean,kappa_median,exact_mean_%,adjacent_mean_%,mae_dim_mean,rho_total,mae_total,n_dimensions_evaluated
llm_results/full_active.csv,0.17150148584608418,0.15685187585843796,63.666121112929616,96.31751227495909,0.400163666121113,0.6860440214212946,13.602564102564102,46
llm_results/full_baseline.csv,0.14640868984710817,0.12957222566645998,59.929078014184405,95.06273867975996,0.4500818330605564,0.57729179333589,16.307692307692307,47
llm_results/full_cot.csv,0.16493956224119558,0.13666987487969207,61.59301691216585,95.41734860883795,0.42989634478996186,0.6022486915704599,15.487179487179487,47
llm_results/full_critique.csv,0.16520296088971353,0.1389000401445203,62.30223677032187,95.9356246590289,0.417621385706492,0.6387875745809791,14.653846153846153,47
llm_results/full_decomposed.csv,0.17734429355357043,0.14770158251695542,61.974904528096005,96.12656846699397,0.4189852700490998,0.6504138995618186,14.846153846153847,47
llm_results/full_deliberative.csv,0.16460820974086407,0.13950177935943064,61.21112929623568,95.49918166939443,0.43289689034369877,0.6048734887252449,15.576923076923077,47
llm_results/full_few.csv,0.17037975993385523,0.15097167694896235,62.19312602291327,94.9809056192035,0.42825968357883243,0.5090700199729439,15.64102564102564,46
llm_results/full_react.csv,0.17208260692968771,0.15109296458216975,62.7114020731042,95.52645935624659,0.417621385706492,0.5829128925231901,14.807692307692308,46
llm_results/full_sc.csv,0.17761931964003724,0.1554996446571964,64.32078559738135,95.82651391162028,0.3985270049099836,0.6354244736485558,13.5,46
llm_results/full_zero.csv,0.19011716427169317,0.1670735960934775,72.09492635024549,96.69939989088925,0.3120567375886525,0.591525084855265,4.641025641025641,46
llm_results/sections_active.csv,0.11836710099456314,0.08426037081499271,55.264593562465905,91.7075831969449,0.5302782324058921,0.5003605839831576,20.333333333333332,46
llm_results/sections_baseline.csv,0.06569283369123433,0.007339399744013098,71.27659574468086,92.77141298417894,0.3595199127114021,0.33306810262062464,8.871794871794872,46
llm_results/sections_cot.csv,0.10299833172427342,0.07376104930946686,70.949263502455,95.39007092198581,0.3366066557555919,0.5147468438089982,8.025641025641026,46
llm_results/sections_critique.csv,0.119676097573408,0.07555555555555549,53.73704309874522,91.4075286415712,0.5485542825968359,0.5637322013551296,21.576923076923077,47
llm_results/sections_decomposed.csv,0.12566968143083154,0.08063315245997338,55.75559192580469,92.08947081287506,0.5215493726132023,0.48495786571755456,20.05128205128205,46
llm_results/sections_deliberative.csv,0.11665016053135273,0.08641332639250399,53.40971085651937,91.29841789416258,0.5529187124931806,0.518952795722901,21.884615384615383,47
llm_results/sections_few.csv,0.11425088757898458,0.07520631088031487,53.21876704855427,90.28914348063286,0.5649208947081289,0.5088110952136471,22.423076923076923,46
llm_results/sections_react.csv,0.09076264505818611,0.03263363501502342,71.60392798690671,95.36279323513362,0.3303327877795963,0.4553182778404399,7.4743589743589745,46
llm_results/sections_sc.csv,0.12396180111041212,0.08771929824561397,56.38297872340426,91.65302782324059,0.5196399345335516,0.5059897007475531,19.884615384615383,47
llm_results/sections_zero.csv,0.053632380422126,0.0,75.06819421713038,92.88052373158756,0.32051282051282054,0.12405788365939031,6.833333333333333,46
